Restaurant,Customer,Date,Rating,Review
Vena Cuisine,AHMED A***,12 August 2021,OK,مكتوب ف المنيو دجاجة مشوية ب 70 ج قلت يمكن عرض لما جالي الاوردر لقيت شريحتين فراخ ما يساووش 15 ج ومعاهم سلطة وخلاص على كدا
I Seoul U,Salma A***,27 January 2024,OK,الاكل مش مستوي
I Seoul U,Sara abdalla O***,28 June 2023,OK,الاكل كان سيء جدا و ليس صلاحه لاكل
I Seoul U,dalia e***,23 April 2023,OK,التكبوكى حراق بسيط و الصوص معسل اوى يقلب المعده 😰😰😰😰😰😰😰
Cholo's Burger,Ayman A***,05 February 2024,Amazing,شكرا جدا
Cholo's Burger,Mohamed R***,11 January 2024,Amazing,،♥️♥️♥️♥️♥️♥️
Cholo's Burger,Mohamed H***,09 January 2024,Amazing,زين كتير
Cholo's Burger,Abdelrahman A***,08 January 2024,Amazing,شكرا لكم
Cholo's Burger,Mohamed H***,02 January 2024,Amazing,تحفة اوووووي
Cholo's Burger,Ahmed M***,22 December 2023,Good,مش حلو للاسف
Cholo's Burger,Mohamed H***,21 December 2023,Amazing,شكرا ليكم احلي براند مصري❤️
Cholo's Burger,Abdelrahman A***,19 December 2023,Amazing,جميل اوووي تسلمو ♥️
NOLA,فاطيما ي***,01 January 2024,Good,الفراوله على التورته بايته
koshary al forsan,محمود ط***,05 February 2024,OK,الاكل سيء
