Chili'sORDER ONLINE,Aladdin AL-GARADI,4 years ago,1,"nasty ، too expensive مقزز, غاااااااالي جدا وما يسوى"
Chili'sORDER ONLINE,Dr.Ahmed Elsayed,4 years ago,2,خلاص راح عليه ومش عايز يرجع يطور نفسه جودة رديئة اقسم بالله الرز كان بايت والكميات قليلة جدا باسعار اعلي من مل المنافسين وخدمة بطيئة وتشتكي يقولك اه ان شاء الله. زمان ده كان العشق لكن ضيعوه للاسف
Chili'sORDER ONLINE,Ashraf Abostate,4 years ago,1,very bad experience with the online ordering 2 hours to deliver a salad and it's bad after all this is so sick for me trying chilies and order online by this irresponsible app team very bad experience for real.
Chili'sORDER ONLINE,saba eid,4 years ago,1,و كمان حاولت اتواصل معاهم بعد ما تأخر الاوردر عن الوقت المفروض يوصل فيه قالو لي انه عندهم زحمه و ١٠ دقائق و الأكل بيوصل عدت أكثر من نص ساعه و لا في اي حاجه وصلت اتأخر الاكل ساعه كامله فرفضت استلمه و كانت الحجه انه آسفين على التأخير الدليفري عمل حادثه...
Chili'sORDER ONLINE,saba eid,4 years ago,1,الأكل تأخر ساعة كامله عن الوقت المحدد وصوله فيه ، هي دي آخر مرة اطلب منهم very disappointed :(
Chili'sORDER ONLINE,Mohamed Zaki,4 years ago,5,"it is amazing to eat over there, i am in love with the branch"
Chili'sORDER ONLINE,saba eid,5 years ago,2,الأكل وصل متأخر عن الوقت المفروض بنص ساعه و التغليف تبع الأوردر سيء جدًا و طعم الأكل أساسًا مش طيب أبدا و بارد
Chili'sORDER ONLINE,Sherihan Magied,5 years ago,1,worst service ever . order delayed for more than an hour. i contacted them 3 times and they kept lying saying it will be deliverd in 10 mins then in 15 mins. then after more than an hour nothing was delivered
Chili'sORDER ONLINE,Fady Elmairy,5 years ago,1,"Ruined mac’n’cheese! Didn’t think it was possible to ruin such a basic dish, but when you add a whole layer of solid garlic on top it becomes disgusting! Couldn’t even gather the courage to taste it from the smell"
Chili'sORDER ONLINE,Mostafa Zein El Abdein,5 years ago,1,The quality of the food is absolutely horrible and overpriced. They are getting worse and worse. I'm getting the idea that they don't even care because they sell under the brand name Chili's. This place used to serve good quality comfort food with re...
Chili'sORDER ONLINE,Aya Seif,5 years ago,1,Missing deliverables Bad quality of the delivered Written notes ignored
Chili'sORDER ONLINE,Sara Salama,5 years ago,1,The molten cake tastes very bad. Any homemade cake would have tasted better. Was extremely disappointed.
Chili'sORDER ONLINE,Abdelrahman Afifi,5 years ago,1,it closed so watch out and don't go anywhere near it
Chili'sORDER ONLINE,Tony Essam,5 years ago,4,Their food quality is not the best but crispy honey-chipotle chicken crispers is a must-try!!
Chili'sORDER ONLINE,Mim Sabra,5 years ago,1,"I ordered chicken crispers, they arrived extremely greasy. The fries were raw and greasy, the corn was undercooked and uncleaned. I also ordered chips and queso, recieved a tiny portion of queso which was far too spicy and the cheese sauce tasted old..."
Chili'sORDER ONLINE,everydayfastfood,5 years ago,2,"nothing special average quality, overpriced . the food is not sweet . im not sure why they still in business. they used to be good."
Chili'sORDER ONLINE,Hassan APo Ismael Abaza,5 years ago,4,انا متعود علية الخدمة نضيفة جدا و الاكل جامد قوي
